CompanyName	Value(1000s)	Shares	OrderType
AMERICAN EAGLE OUTFITTERS NE	398	28400	Call
AMERICAN EAGLE OUTFITTERS NE	415	29600	Put
AMERICAN ELEC PWR INC	46580	693871	Market
AMERICAN ELEC PWR INC	4269	63600	Call
AMERICAN ELEC PWR INC	12198	181700	Put
AMERICAN EQTY INVT LIFE HLD	698	29518	Market
AMERICAN FINL GROUP INC OHIO	3519	36884	Market
AMERICAN HOMES 4 RENT	35739	1556558	Market
AMERICAN INTL GROUP INC	656	10509	Market
AMERICAN OUTDOOR BRANDS CORP	254	12800	Call
AMERICAN SUPERCONDUCTOR CORP	226	32943	Market
AMERICAN TOWER CORP NEW	170418	1402154	Market
AMERICAN TOWER CORP NEW	6928	57000	Call
AMERICAN TOWER CORP NEW	11668	96000	Put
AMERICAN WTR WKS CO INC NEW	2641	33965	Market
AMERISAFE INC	1428	22003	Market
AMERISOURCEBERGEN CORP	244	2762	Market
AMERISOURCEBERGEN CORP	1080	12200	Call
AMERISOURCEBERGEN CORP	1593	18000	Put
AMETEK INC NEW	6908	127734	Market
AMGEN INC	61141	372653	Market
AMGEN INC	2297	14000	Call
AMGEN INC	2937	17900	Put
AMKOR TECHNOLOGY INC	16478	1421777	Market
AMTRUST FINL SVCS INC	8197	444036	Market
ANADARKO PETE CORP	5648	91100	Call
ANADARKO PETE CORP	6467	104300	Put
ANALOG DEVICES INC	48968	597535	Market
ANALOGIC CORP	6220	81955	Market
ANDERSONS INC	1867	49270	Market
ANGIES LIST INC	251	44060	Market
ANGIODYNAMICS INC	3924	226172	Market
ANGLOGOLD ASHANTI LTD	1355	125828	Market
ANGLOGOLD ASHANTI LTD	355	33000	Put
ANHEUSER BUSCH INBEV SA/NV	933	8500	Call
ANHEUSER BUSCH INBEV SA/NV	2118	19300	Put
ANIKA THERAPEUTICS INC	1544	35532	Market
ANIXTER INTL INC	409	5160	Market
ANNALY CAP MGMT INC	76204	6859019	Market
ANNALY CAP MGMT INC	111	10000	Put
ANTERO RES CORP	6131	268800	Call
ANTERO RES CORP	5883	257900	Put
ANWORTH MORTGAGE ASSET CP	3126	563218	Market
AON PLC	6450	54343	Market
APACHE CORP	5190	101000	Call
APACHE CORP	6773	131800	Put
APARTMENT INVT & MGMT CO	10383	234123	Market
APOLLO GLOBAL MGMT LLC	41387	1701763	Market
APOLLO GLOBAL MGMT LLC	790	32500	Call
APOLLO GLOBAL MGMT LLC	803	33000	Put
APOLLO INVT CORP	6233	950145	Market
APPFOLIO INC	807	29666	Market
APPLE INC	28434	197924	Market
APPLIED MATLS INC	40100	1030840	Market
APPLIED MATLS INC	700	18000	Put
APPLIED OPTOELECTRONICS INC	12485	222343	Market
APTARGROUP INC	11761	152759	Market
AQUA AMERICA INC	5986	186181	Market
ARAMARK	44315	1201937	Market
ARBOR RLTY TR INC	1552	185215	Market
ARC DOCUMENT SOLUTIONS INC	654	189500	Market
ARCBEST CORP	683	26269	Market
ARCELORMITTAL SA LUXEMBOURG	3396	406695	Market
ARCHER DANIELS MIDLAND CO	4846	105257	Market
ARCHER DANIELS MIDLAND CO	2914	63300	Call
ARCHER DANIELS MIDLAND CO	3278	71200	Put
ARCONIC INC	63313	2403692	Market
ARCOS DORADOS HOLDINGS INC	5510	684435	Market
ARENA PHARMACEUTICALS INC	457	312833	Market
ARES CAP CORP	53553	3081273	Market
ARES COML REAL ESTATE CORP	725	54205	Market
ARGAN INC	2082	31470	Market
ARGO GROUP INTL HLDGS LTD	1629	24028	Market
ARISTA NETWORKS INC	32172	243229	Market
ARMADA HOFFLER PPTYS INC	489	35190	Market
ARMOUR RESIDENTIAL REIT INC	3165	139362	Market
ARMSTRONG FLOORING INC	379	20600	Market
ARMSTRONG WORLD INDS INC NEW	18708	406259	Market
ARRAY BIOPHARMA INC	20406	2282600	Market
ARROW FINL CORP	632	18633	Market
ASCENA RETAIL GROUP INC	750	175962	Market
ASCENA RETAIL GROUP INC	130	30400	Call
ASCENT CAP GROUP INC	248	17541	Market
ASHFORD HOSPITALITY PRIME IN	3111	293225	Market
ASHFORD HOSPITALITY TR INC	2079	326377	Market
ASHLAND GLOBAL HLDGS INC	4682	37815	Market
ASPEN INSURANCE HOLDINGS LTD	6395	122861	Market
ASSOCIATED CAP GROUP INC	209	5774	Market
ASSURED GUARANTY LTD	3604	97109	Market
ASTEC INDS INC	5056	82222	Market
ASTORIA FINL CORP	29503	1438476	Market
ASTRONICS CORP	2311	72824	Market
AT&T INC	166871	4016160	Market
AT&T INC	20052	482600	Call
AT&T INC	27593	664100	Put
ATENTO S A	104	11414	Market
ATHENAHEALTH INC	2448	21719	Market
ATHENE HLDG LTD	67263	1345526	Market
ATKORE INTL GROUP INC	9132	347475	Market
ATLANTIC CAP BANCSHARES INC	1425	75208	Market
ATLANTIC PWR CORP	462	174262	Market
ATLANTICA YIELD PLC	2161	103116	Market
ATLAS AIR WORLDWIDE HLDGS IN	2599	46864	Market
ATLAS FINANCIAL HOLDINGS INC	395	28922	Market
ATLASSIAN CORP PLC	14045	468957	Market
ATRION CORP	597	1275	Market
ATWOOD OCEANICS INC	419	44000	Call
ATWOOD OCEANICS INC	418	43900	Put
AU OPTRONICS CORP	4159	1088860	Market
AUDIOCODES LTD	769	109761	Market
AURINIA PHARMACEUTICALS INC	4028	548771	Market
AUTOBYTEL INC	956	76268	Market
AUTOLIV INC	2659	26004	Market
AUTONATION INC	1095	25900	Call
AUTONATION INC	503	11900	Put
AUTOZONE INC	8098	11200	Call
AUTOZONE INC	10990	15200	Put
AVALONBAY CMNTYS INC	2277	12400	Call
AVALONBAY CMNTYS INC	4370	23800	Put
AVANGRID INC	1641	38389	Market
AVERY DENNISON CORP	14273	177090	Market
AVIANCA HLDGS SA	1929	250219	Market
AVID TECHNOLOGY INC	127	27300	Market
AVISTA CORP	3004	76920	Market
AVNET INC	3705	80969	Market
AVX CORP NEW	1575	96140	Market
AXALTA COATING SYS LTD	32257	1001762	Market
AXOGEN INC	636	60815	Market
AXT INC	3122	538274	Market
B/E AEROSPACE INC	66922	1043857	Market
B2GOLD CORP	267	93512	Market
BABCOCK & WILCOX ENTERPRIS I	2779	297520	Market
BAIDU INC	983	5700	Call
BAIDU INC	1380	8000	Put
BAKER HUGHES INC	34601	578418	Market
BALDWIN & LYONS INC	2164	88490	Market
BALL CORP	3580	48206	Market
BALL CORP	245	3300	Call
BANC OF CALIFORNIA INC	323	15600	Call
BANC OF CALIFORNIA INC	261	12600	Put
BANCO BILBAO VIZCAYA ARGENTA	516	67836	Market
BANCO BRADESCO S A	12982	1267812	Market
BANCO DE CHILE	244	3382	Market
BANCO SANTANDER BRASIL S A	809	91694	Market
BANCOLOMBIA S A	1967	49340	Market
BANCORP INC DEL	770	150960	Market
BANK AMER CORP	24314	1030682	Market
BANK AMER CORP	14781	626600	Call
BANK AMER CORP	15218	645100	Put
BANK HAWAII CORP	1780	21607	Market
BANK MUTUAL CORP NEW	1505	160138	Market
BANK N S HALIFAX	5819	99379	Market
BANK NEW YORK MELLON CORP	14154	299685	Market
BANK OF MARIN BANCORP	219	3396	Market
BANK OF NT BUTTERFIELD&SON L	12103	379301	Market
BANKFINANCIAL CORP	473	32595	Market
BANKRATE INC DEL	2632	272761	Market
BANKUNITED INC	9151	245262	Market
BARD C R INC	28178	113376	Market
BARD C R INC	2510	10100	Put
BARNES & NOBLE ED INC	1252	130586	Market
BARRACUDA NETWORKS INC	12898	558096	Market
BARRETT BILL CORP	1127	247778	Market
BARRICK GOLD CORP	37645	1981088	Market
BARRICK GOLD CORP	15511	816800	Call
BARRICK GOLD CORP	16075	846500	Put
BASSETT FURNITURE INDS INC	443	16472	Market
BAXTER INTL INC	182966	3528069	Market
BAXTER INTL INC	1291	24900	Call
BAZAARVOICE INC	4072	946921	Market
BB&T CORP	18561	415246	Market
BCE INC	92007	2076088	Market
BECTON DICKINSON & CO	28506	155399	Market
BED BATH & BEYOND INC	466	11800	Call
BEL FUSE INC	895	35045	Market
BENCHMARK ELECTRS INC	1236	38857	Market
BENEFICIAL BANCORP INC	1475	92208	Market
BENEFITFOCUS INC	1951	69787	Market
BERKSHIRE HILLS BANCORP INC	2828	78441	Market
BERRY PLASTICS GROUP INC	3282	67581	Market
BEST BUY INC	899	18300	Call
BEST BUY INC	1121	22800	Put
BGC PARTNERS INC	1701	149753	Market
BHP BILLITON LTD	795	21878	Market
BHP BILLITON PLC	26672	856232	Market
BIG 5 SPORTING GOODS CORP	6627	438883	Market
BIG LOTS INC	672	13800	Call
BIG LOTS INC	842	17300	Put
BIO RAD LABS INC	5241	26292	Market
BIOCRYST PHARMACEUTICALS	3844	457647	Market
BIOGEN INC	1453	5314	Market
BIOMARIN PHARMACEUTICAL INC	6618	75396	Market
BIOMARIN PHARMACEUTICAL INC	202	2300	Put
BIOSPECIFICS TECHNOLOGIES CO	858	15658	Market
BIOTELEMETRY INC	1886	65142	Market
BIOVERATIV INC	53334	979332	Market
BJS RESTAURANTS INC	12632	312678	Market
BLACK BOX CORP DEL	238	26609	Market
BLACK DIAMOND INC	490	89994	Market
BLACK KNIGHT FINL SVCS INC	1402	36615	Market
BLACKBERRY LTD	95	12300	Call
BLACKHAWK NETWORK HLDGS INC	6325	155786	Market
BLACKROCK CAPITAL INVESTMENT	3009	398580	Market
BLACKROCK INC	7440	19400	Call
BLACKROCK INC	5983	15600	Put
BLACKSTONE MTG TR INC	16983	548550	Market
BLOCK H & R INC	4236	182183	Market
BLOCK H & R INC	449	19300	Call
BLOCK H & R INC	279	12000	Put
BLOOMIN BRANDS INC	12752	646323	Market
BLUCORA INC	3081	178108	Market
BLUE BIRD CORP	542	31579	Market
BLUE HILLS BANCORP INC	600	33639	Market
BLUEBIRD BIO INC	1882	20700	Call
BLUEBIRD BIO INC	2136	23500	Put
BLUEPRINT MEDICINES CORP	5923	148105	Market
BMC STK HLDGS INC	5346	236535	Market
BNC BANCORP	4198	119770	Market
BOEING CO	96693	546723	Market
BOEING CO	531	3000	Put
BOFI HLDG INC	4320	165310	Market
BOINGO WIRELESS INC	3158	243098	Market
BOISE CASCADE CO DEL	640	23958	Market
BOJANGLES INC	1161	56653	Market
BOOZ ALLEN HAMILTON HLDG COR	7975	225353	Market
BORGWARNER INC	1088	26024	Market
BOSTON BEER INC	1591	11000	Call
BOSTON BEER INC	1447	10000	Put
BOSTON PROPERTIES INC	358	2700	Call
BOSTON PROPERTIES INC	265	2000	Put
BOSTON SCIENTIFIC CORP	100188	4028456	Market
BOTTOMLINE TECH DEL INC	1383	58486	Market
BOX INC	12921	792195	Market
BOYD GAMING CORP	5624	255531	Market
BRASKEM S A	4913	241432	Market
BRAVO BRIO RESTAURANT GROUP	678	132934	Market
BRF SA	362	29526	Market
BRIDGE BANCORP INC	557	15914	Market
BRIDGEPOINT ED INC	1040	97442	Market
BRIGHTCOVE INC	2053	230722	Market
BRINKER INTL INC	1652	37580	Market
BRINKS CO	18557	347189	Market
BRISTOL MYERS SQUIBB CO	57474	1056904	Market
BRISTOL MYERS SQUIBB CO	2985	54900	Call
BRISTOL MYERS SQUIBB CO	1349	24800	Put
BRITISH AMERN TOB PLC	60437	911298	Market
BRIXMOR PPTY GROUP INC	19594	913050	Market
BROADCOM LTD	6131	28000	Call
BROADCOM LTD	4379	20000	Put
BROOKDALE SR LIVING INC	432	32144	Market
BROOKFIELD CDA OFFICE PPTYS	1432	60880	Market
BROOKFIELD INFRAST PARTNERS	913	23602	Market
BROOKLINE BANCORP INC DEL	301	19212	Market
BROOKS AUTOMATION INC	4151	185317	Market
BROWN & BROWN INC	609	14603	Market
BRUKER CORP	13468	577291	Market
BT GROUP PLC	750	37342	Market
BUFFALO WILD WINGS INC	7098	46466	Market
BUFFALO WILD WINGS INC	2597	17000	Call
BUFFALO WILD WINGS INC	2001	13100	Put
BUILD A BEAR WORKSHOP	152	17146	Market
BUILDERS FIRSTSOURCE INC	5755	386235	Market
BUNGE LIMITED	71794	905805	Market
BUNGE LIMITED	238	3000	Call
BUNGE LIMITED	1268	16000	Put
BURLINGTON STORES INC	77518	796776	Market
BURLINGTON STORES INC	3172	32600	Call
BURLINGTON STORES INC	3804	39100	Put
BWX TECHNOLOGIES INC	45613	958246	Market
C & F FINL CORP	310	6685	Market
C D I CORP	352	41176	Market
C H ROBINSON WORLDWIDE INC	2790	36100	Call
C H ROBINSON WORLDWIDE INC	2744	35500	Put
CA INC	12208	384878	Market
CA INC	803	25300	Put
CABLE ONE INC	999	1600	Market
CABOT CORP	2390	39900	Market
CABOT MICROELECTRONICS CORP	1795	23429	Market
CABOT OIL & GAS CORP	581	24300	Call
CABOT OIL & GAS CORP	1291	54000	Put
CACI INTL INC	490	4178	Market
CADENCE DESIGN SYSTEM INC	31251	995257	Market
CADIZ INC	227	15071	Market
CAE INC	14843	970521	Market
CAESARS ACQUISITION CO	3085	200320	Market
CAESARS ENTMT CORP	9596	1004777	Market
CAESARSTONE LTD	3817	105298	Market
CAI INTERNATIONAL INC	1388	88187	Market
CAL MAINE FOODS INC	331	9000	Call
CAL MAINE FOODS INC	294	8000	Put
CALAVO GROWERS INC	5528	91217	Market
CALGON CARBON CORP	565	38710	Market
CALIFORNIA RES CORP	346	23000	Call
CALIFORNIA RES CORP	180	12000	Put
CALITHERA BIOSCIENCES INC	159	13730	Market
CALIX INC	1040	143412	Market
CALLAWAY GOLF CO	1719	155296	Market
CALPINE CORP	1805	163339	Market
CALPINE CORP	305	27600	Call
CAMDEN NATL CORP	484	10993	Market
CAMDEN PPTY TR	29526	366966	Market
CAMECO CORP	188	17000	Put
CAMPING WORLD HLDGS INC	1107	34323	Market
CANADIAN NAT RES LTD	1094	33354	Market
CANADIAN NATL RY CO	26510	358812	Market
CANADIAN NATL RY CO	333	4500	Put
CANADIAN PAC RY LTD	94831	645265	Market
CANADIAN PAC RY LTD	882	6000	Call
CANADIAN PAC RY LTD	588	4000	Put
CANADIAN SOLAR INC	577	47000	Call
CANADIAN SOLAR INC	405	33000	Put
CANCER GENETICS INC	116	28342	Market
CANON INC	8580	274379	Market
CAPITAL ONE FINL CORP	15359	177235	Market
CAPITAL PRODUCT PARTNERS L P	2719	761491	Market
CAPITAL SR LIVING CORP	495	35213	Market
CAPITALA FIN CORP	1382	96233	Market
CAPITOL FED FINL INC	3819	261042	Market
CARBO CERAMICS INC	177	13588	Market
CARBONITE INC	3262	160697	Market
CARDCONNECT CORP	345	26146	Market
CARDINAL FINL CORP	5388	179972	Market
CARDIOVASCULAR SYS INC DEL	8012	283352	Market
CARE CAP PPTYS INC	8665	322496	Market
CARE COM INC	3085	246623	Market
CARETRUST REIT INC	1740	103468	Market
CARLISLE COS INC	9881	92861	Market
CARNIVAL CORP	32705	555167	Market
CARNIVAL PLC	3581	61856	Market
CAROLINA FINL CORP NEW	1063	35428	Market
CARRIAGE SVCS INC	2571	94801	Market
CARRIZO OIL & GAS INC	11256	392743	Market
CARRIZO OIL & GAS INC	3648	127300	Call
CARRIZO OIL & GAS INC	2935	102400	Put
CARROLS RESTAURANT GROUP INC	1183	83628	Market
CARTER INC	24953	277875	Market
CASCADE BANCORP	1860	241196	Market
CASELLA WASTE SYS INC	3764	266754	Market
CASEYS GEN STORES INC	34138	304121	Market
CASS INFORMATION SYS INC	747	11297	Market
CASTLIGHT HEALTH INC	179	49013	Market
CATALENT INC	3700	130642	Market
CATCHMARK TIMBER TR INC	1361	118168	Market
CATERPILLAR INC DEL	3608	38901	Market
CATERPILLAR INC DEL	3339	36000	Call
CATERPILLAR INC DEL	2430	26200	Put
CATHAY GEN BANCORP	259	6878	Market
CATO CORP NEW	3331	151673	Market
CAVCO INDS INC DEL	566	4862	Market
CAVIUM INC	215	3000	Call
CBIZ INC	1369	100997	Market
CBRE GROUP INC	4326	124352	Market
CBS CORP NEW	6401	92284	Market
CBS CORP NEW	416	6000	Put
CDK GLOBAL INC	2591	39854	Market
CDW CORP	12403	214918	Market
CEB INC	1562	19868	Market
CECO ENVIRONMENTAL CORP	674	64145	Market
CEDAR REALTY TRUST INC	2382	474462	Market
CELANESE CORP DEL	22021	245090	Market
CELESTICA INC	6449	443823	Market
CELGENE CORP	18608	149543	Market
CELGENE CORP	995	8000	Call
CELGENE CORP	871	7000	Put
CENCOSUD S A	218	23468	Market
CENTENE CORP DEL	20151	282779	Market
CENTENE CORP DEL	356	5000	Call
CENTENE CORP DEL	641	9000	Put
CENTERPOINT ENERGY INC	54046	1960325	Market
CENTERPOINT ENERGY INC	4323	156800	Call
CENTERPOINT ENERGY INC	8061	292400	Put
CENTERSTATE BANKS INC	1100	42454	Market
CENTRAL EUROPEAN MEDIA ENTRP	32	10451	Market
CENTURY ALUM CO	10915	860092	Market
CENTURY CMNTYS INC	812	31981	Market
CENTURYLINK INC	100718	4273163	Market
CENTURYLINK INC	2593	110000	Call
CENTURYLINK INC	3505	148700	Put
CERNER CORP	806	13700	Call
CERNER CORP	1059	18000	Put
CEVA INC	2016	56798	Market
CF INDS HLDGS INC	5248	178800	Call
CF INDS HLDGS INC	5465	186200	Put
CHANGYOU COM LTD	5796	206696	Market
CHANNELADVISOR CORP	880	78883	Market
CHARLES RIV LABS INTL INC	26629	296043	Market
CHART INDS INC	209	5979	Market
CHARTER COMMUNICATIONS INC N	8078	24679	Market
CHARTER COMMUNICATIONS INC N	655	2000	Call
CHARTER FINL CORP MD	833	42325	Market
CHECK POINT SOFTWARE TECH LT	411	4000	Put
CHEESECAKE FACTORY INC	32677	515742	Market
CHEFS WHSE INC	636	45789	Market
CHEGG INC	328	38833	Market
CHEMOURS CO	86036	2234689	Market
CHEMOURS CO	1001	26000	Call
CHEMOURS CO	1459	37900	Put
CHEMTURA CORP	608	18212	Market
CHENIERE ENERGY INC	604	12787	Market
CHENIERE ENERGY INC	331	7000	Call
CHENIERE ENERGY INC	567	12000	Put
CHEROKEE INC DEL NEW	513	59629	Market
CHESAPEAKE LODGING TR	440	18344	Market
CHEVRON CORP NEW	163574	1523458	Market
CHEVRON CORP NEW	31878	296900	Call
CHEVRON CORP NEW	23278	216800	Put
CHICAGO BRIDGE & IRON CO N V	400	13000	Call
CHICAGO BRIDGE & IRON CO N V	431	14000	Put
CHILDRENS PL INC	240	2000	Put
CHIMERA INVT CORP	6722	333118	Market
CHIMERIX INC	1348	211260	Market
CHINA BIOLOGIC PRODS INC	355	3541	Market
CHINA CORD BLOOD CORP	153	22914	Market
CHINA LIFE INS CO LTD	2696	175860	Market
CHINA LODGING GROUP LTD	2875	46326	Market
CHINA MOBILE LIMITED	21155	383028	Market
CHINA PETE & CHEM CORP	5741	70435	Market
CHINA SOUTHN AIRLS LTD	319	9607	Market
CHINA TELECOM CORP LTD	1410	28980	Market
CHINA YUCHAI INTL LTD	1462	78973	Market
CHIPMOS TECHNOLOGIES INC	1262	71124	Market
CHIPOTLE MEXICAN GRILL INC	139213	312472	Market
CHIPOTLE MEXICAN GRILL INC	14123	31700	Call
CHIPOTLE MEXICAN GRILL INC	11628	26100	Put
CHOICE HOTELS INTL INC	6789	108458	Market
CHUBB LIMITED	545	4000	Call
CHURCHILL DOWNS INC	2535	15956	Market
CIBER INC	38	95091	Market
CIENA CORP	394	16700	Call
CIENA CORP	460	19500	Put
CIGNA CORPORATION	114745	783298	Market
CIMAREX ENERGY CO	19424	162558	Market
CIMAREX ENERGY CO	4576	38300	Call
CIMAREX ENERGY CO	4194	35100	Put
CIMPRESS N V	590	6850	Market
CINEMARK HOLDINGS INC	19989	450819	Market
CISCO SYS INC	20538	607636	Market
CISCO SYS INC	3921	116000	Call
CISCO SYS INC	4516	133600	Put
CITI TRENDS INC	1073	63103	Market
CITIGROUP INC	143168	2393320	Market
CITIGROUP INC	38632	645800	Call
CITIGROUP INC	40923	684100	Put
CITIZENS INC	337	45290	Market
CITRIX SYS INC	11493	137820	Market
CITY HLDG CO	410	6351	Market
CITY OFFICE REIT INC	1431	117800	Market
CIVEO CORP CDA	2677	895329	Market
CIVITAS SOLUTIONS INC	1766	96262	Market
CLEAN ENERGY FUELS CORP	413	162040	Market
CLEAN HARBORS INC	1043	18747	Market
CLEAR CHANNEL OUTDOOR HLDGS	791	130734	Market
CLEARFIELD INC	392	23846	Market
CLEARWATER PAPER CORP	750	13400	Market
CLIFFS NAT RES INC	330	40172	Market
CLIFFS NAT RES INC	1617	197000	Call
CLIFFS NAT RES INC	1929	235000	Put
CLIFTON BANCORP INC	723	44650	Market
CLOUD PEAK ENERGY INC	263	57318	Market
CLOVIS ONCOLOGY INC	35386	555773	Market
CLUBCORP HLDGS INC	5164	321724	Market
CME GROUP INC	19590	164901	Market
CME GROUP INC	570	4800	Call
CME GROUP INC	238	2000	Put
CMS ENERGY CORP	8255	184509	Market
CNB FINL CORP PA	627	26226	Market
CNO FINL GROUP INC	10232	499111	Market
CNOOC LTD	1505	12565	Market
COACH INC	703	17000	Put
COCA COLA BOTTLING CO CONS	1092	5300	Market
COCA COLA CO	81883	1929377	Market
COCA COLA CO	11505	271100	Call
COCA COLA CO	23626	556700	Put
COCA COLA EUROPEAN PARTNERS	3217	85367	Market
COEUR MNG INC	162	20000	Call
COEUR MNG INC	101	12500	Put
COGENT COMMUNICATIONS HLDGS	4044	93943	Market
COHEN & STEERS INC	2579	64526	Market
COHERENT INC	4225	20544	Market
COHU INC	3317	179669	Market
COLGATE PALMOLIVE CO	28524	389725	Market
COLLECTORS UNIVERSE INC	441	16884	Market
