CompanyName	Value(1000s)	Shares	OrderType
ATLASSIAN CORP PLC	37424	1063800	Market
ATMOS ENERGY CORP	13322	160600	Market
ATN INTL INC	28492	416300	Market
ATOSSA GENETICS INC	181	361511	Market
ATRION CORP	37848	58834	Market
ATTUNITY LTD	1362	189400	Market
ATYR PHARMA INC	205	60300	Market
AU OPTRONICS CORP	47608	10440384	Market
AUDIOCODES LTD	1239	206900	Market
AURINIA PHARMACEUTICALS INC	435	71001	Market
AUTOBYTEL INC	3506	278000	Market
AUTODESK INC	140338	1391968	Market
AUTOLIV INC	4074	37100	Market
AUTOZONE INC	18393	32243	Market
AV HOMES INC	6797	339003	Market
AVADEL PHARMACEUTICALS PLC	7702	698273	Market
AVALONBAY CMNTYS INC	245420	1277100	Market
AVANGRID INC	10243	232000	Market
AVEO PHARMACEUTICALS INC	5225	2353400	Market
AVERY DENNISON CORP	42038	475700	Market
AVIANCA HLDGS SA	3723	572700	Market
AVIAT NETWORKS INC	5035	289383	Market
AVID TECHNOLOGY INC	873	165907	Market
AVIRAGEN THERAPEUTICS INC	708	1058103	Market
AVISTA CORP	9163	215800	Market
AVON PRODS INC	25202	6632000	Market
AVX CORP NEW	871	53300	Market
AWARE INC MASS	4552	883800	Market
AXALTA COATING SYS LTD	20435	637800	Market
AXCELIS TECHNOLOGIES INC	1322	63099	Market
AXIS CAPITAL HOLDINGS LTD	31043	480100	Market
AXOGEN INC	4167	248800	Market
AXT INC	5728	902100	Market
AZZ INC	508	9100	Market
B COMMUNICATIONS LTD	624	36300	Market
B RILEY FINL INC	3694	199122	Market
B2GOLD CORP	30069	10700597	Market
BADGER METER INC	626	15700	Market
BAIDU INC	9462	52900	Market
BAKER HUGHES INC	883	16200	Market
BALCHEM CORP	2961	38100	Market
BALDWIN & LYONS INC	10996	448800	Market
BALL CORP	40037	948522	Market
BALLANTYNE STRONG INC	3929	586465	Market
BALLARD PWR SYS INC NEW	1130	389500	Market
BANCFIRST CORP	9187	95100	Market
BANCO BRADESCO S A	30421	3578988	Market
BANCO DE CHILE	47699	612080	Market
BANCO MACRO SA	5974	64800	Market
BANCO SANTANDER BRASIL S A	8263	1097399	Market
BANCO SANTANDER CHILE NEW	41887	1648427	Market
BANCOLOMBIA S A	9449	212100	Market
BANCORP NEW JERSEY INC NEW	288	17200	Market
BANCORPSOUTH INC	10584	347000	Market
BANK COMM HLDGS	358	32378	Market
BANK HAWAII CORP	12396	149400	Market
BANK MONTREAL QUE	54830	746595	Market
BANK MUTUAL CORP NEW	18210	1990111	Market
BANK N S HALIFAX	33910	563900	Market
BANK OF MARIN BANCORP	7039	114356	Market
BANK OF NT BUTTERFIELD&SON L	6626	194300	Market
BANK OF THE OZARKS INC	18781	400697	Market
BANKFINANCIAL CORP	9218	617800	Market
BANKRATE INC DEL	15948	1241100	Market
BANKUNITED INC	24612	730100	Market
BANKWELL FINL GROUP INC	4421	141547	Market
BANNER CORP	1017	17999	Market
BANRO CORP	147	203510	Market
BAR HBR BANKSHARES	7930	257296	Market
BARCLAYS PLC	2718	256679	Market
BARD C R INC	409552	1295600	Market
BARNES & NOBLE INC	4573	601700	Market
BARNWELL INDS INC	151	83500	Market
BARRACUDA NETWORKS INC	35473	1538300	Market
BARRETT BILL CORP	10599	3452400	Market
BARRETT BUSINESS SERVICES IN	15846	276600	Market
BARRICK GOLD CORP	135857	8539099	Market
BASIC ENERGY SVCS INC NEW	1320	53000	Market
BASSETT FURNITURE INDS INC	19214	506300	Market
BAXTER INTL INC	119773	1978413	Market
BAY BANCORP INC	95	12500	Market
BAYTEX ENERGY CORP	1473	606097	Market
BAZAARVOICE INC	16405	3314200	Market
BBVA BANCO FRANCES S A	7119	376050	Market
BCB BANCORP INC	2519	164661	Market
BCE INC	92179	2046571	Market
BEACON ROOFING SUPPLY INC	2115	43157	Market
BEAR ST FINL INC	1562	165163	Market
BEASLEY BROADCAST GROUP INC	1743	177900	Market
BEAZER HOMES USA INC	2488	181360	Market
BEBE STORES INC	1572	264230	Market
BED BATH & BEYOND INC	68548	2254860	Market
BEL FUSE INC	414	20000	Market
BEL FUSE INC	11471	464417	Market
BELDEN INC	7400	98100	Market
BELLEROPHON THERAPEUTICS INC	829	618300	Market
BELMOND LTD	492	37000	Market
BEMIS INC	12053	260600	Market
BENCHMARK ELECTRS INC	12828	397150	Market
BENEFICIAL BANCORP INC	57313	3820870	Market
BENEFITFOCUS INC	5445	149800	Market
BERKLEY W R CORP	25655	370900	Market
BERKSHIRE HATHAWAY INC DEL	147471	579	Market
BERKSHIRE HATHAWAY INC DEL	19037	112400	Market
BERKSHIRE HILLS BANCORP INC	22181	631043	Market
BERRY GLOBAL GROUP INC	41737	732105	Market
BEST BUY INC	202312	3528900	Market
BGC PARTNERS INC	28219	2232548	Market
BHP BILLITON PLC	231	7500	Market
BIG 5 SPORTING GOODS CORP	215	16493	Market
BIG LOTS INC	9645	199696	Market
BIGLARI HLDGS INC	1647	4120	Market
BIO PATH HOLDINGS INC	41	106400	Market
BIO RAD LABS INC	19576	86500	Market
BIO RAD LABS INC	248	1100	Market
BIO TECHNE CORP	17284	147100	Market
BIOANALYTICAL SYS INC	141	85100	Market
BIOBLAST PHARMA LTD	139	207700	Market
BIOCRYST PHARMACEUTICALS	2249	404503	Market
BIODELIVERY SCIENCES INTL IN	1374	490700	Market
BIOGEN INC	207010	762861	Market
BIOMARIN PHARMACEUTICAL INC	11522	126871	Market
BIOPTIX INC	118	28806	Market
BIOSPECIFICS TECHNOLOGIES CO	19745	398800	Market
BIOSTAGE INC	290	703600	Market
BIOTELEMETRY INC	36313	1085600	Market
BIOTIME INC	396	125607	Market
BJS RESTAURANTS INC	26354	707500	Market
BLACK BOX CORP DEL	3482	407210	Market
BLACK DIAMOND INC	5040	757900	Market
BLACK HILLS CORP	48632	720800	Market
BLACK KNIGHT FINL SVCS INC	14341	350200	Market
BLACKBERRY LTD	81120	8120143	Market
BLACKHAWK NETWORK HLDGS INC	14281	327549	Market
BLACKLINE INC	8878	248400	Market
BLACKSTONE GROUP L P	97999	2938500	Market
BLACKSTONE MTG TR INC	14987	474280	Market
BLOCK H & R INC	19965	645900	Market
BLONDER TONGUE LABS INC	56	99900	Market
BLUCORA INC	34242	1615200	Market
BLUE BIRD CORP	4663	274320	Market
BLUE BUFFALO PET PRODS INC	61941	2715500	Market
BLUE CAP REINS HLDGS LTD	2546	139123	Market
BLUE HILLS BANCORP INC	4442	248180	Market
BLUEKNIGHT ENERGY PARTNERS L	689	110244	Market
BLUELINX HLDGS INC	1820	166360	Market
BLUEPRINT MEDICINES CORP	659	13000	Market
BLUEROCK RESIDENTIAL GRW REI	11243	872256	Market
BMC STK HLDGS INC	2655	121500	Market
BOARDWALK PIPELINE PARTNERS	220	12200	Market
BOINGO WIRELESS INC	34860	2330200	Market
BOJANGLES INC	367	22600	Market
BOK FINL CORP	5531	65745	Market
BONANZA CREEK ENERGY INC	1053	33200	Market
BONSO ELECTRS INTL INC	260	105000	Market
BOOT BARN HLDGS INC	2122	299700	Market
BOOZ ALLEN HAMILTON HLDG COR	10341	317794	Market
BOSTON BEER INC	344	2600	Market
BOSTON PRIVATE FINL HLDGS IN	7156	466200	Market
BOSTON SCIENTIFIC CORP	147071	5305605	Market
BOTTOMLINE TECH DEL INC	6456	251300	Market
BOVIE MEDICAL CORP	800	323700	Market
BOX INC	45786	2510200	Market
BOYD GAMING CORP	10021	403899	Market
BP PLC	9307	268600	Market
BRADY CORP	55904	1649100	Market
BRANDYWINE RLTY TR	15935	908998	Market
BRASKEM S A	77959	3762500	Market
BRF SA	58868	4993037	Market
BRIDGE BANCORP INC	8130	244132	Market
BRIDGEPOINT ED INC	22252	1507558	Market
BRIGGS & STRATTON CORP	851	35300	Market
BRIGHT HORIZONS FAM SOL IN D	21673	280700	Market
BRIGHTCOVE INC	10645	1716900	Market
BRINKS CO	23765	354700	Market
BRISTOL MYERS SQUIBB CO	751563	13488200	Market
BRITISH AMERN TOB PLC	107745	1572000	Market
BRIXMOR PPTY GROUP INC	48859	2732600	Market
BROADVISION INC	359	80700	Market
BROADWIND ENERGY INC	4921	976290	Market
BROCADE COMMUNICATIONS SYS I	124656	9885449	Market
BROOKDALE SR LIVING INC	4325	294004	Market
BROOKFIELD BUSINESS PARTNERS	2148	79404	Market
BROOKFIELD INFRAST PARTNERS	8681	212200	Market
BROOKFIELD PPTY PARTNERS L P	3248	137214	Market
BROOKFIELD RENEWABLE PARTNER	3431	107428	Market
BROOKLINE BANCORP INC DEL	21428	1467700	Market
BROOKS AUTOMATION INC	8482	391057	Market
BROWN & BROWN INC	61607	1430400	Market
BROWN FORMAN CORP	10787	218800	Market
BROWN FORMAN CORP	21780	448150	Market
BRT APARTMENTS CORP	950	120860	Market
BRUKER CORP	4923	170710	Market
BRYN MAWR BK CORP	23758	559000	Market
BSB BANCORP INC MD	7564	258600	Market
BSQUARE CORP	5431	969775	Market
BT GROUP PLC	52215	2690100	Market
BUCKEYE PARTNERS L P	10985	171834	Market
BUCKLE INC	2221	124750	Market
BUILD A BEAR WORKSHOP	4685	448300	Market
BUILDERS FIRSTSOURCE INC	8535	557100	Market
BUNGE LIMITED	26878	360300	Market
BURLINGTON STORES INC	38967	423600	Market
BWX TECHNOLOGIES INC	30459	624800	Market
C & F FINL CORP	4803	102400	Market
C D I CORP	4540	776100	Market
C H ROBINSON WORLDWIDE INC	35391	515308	Market
CA INC	5515	160000	Market
CABELAS INC	6875	115700	Market
CABLE ONE INC	97535	137200	Market
CABOT MICROELECTRONICS CORP	42313	573109	Market
CACI INTL INC	6828	54600	Market
CADENCE DESIGN SYSTEM INC	23071	688900	Market
CADIZ INC	1215	90036	Market
CAE INC	23967	1390200	Market
CAESARS ENTMT CORP	781	65100	Market
CAESARSTONE LTD	5196	148235	Market
CAFEPRESS INC	1639	660700	Market
CAI INTERNATIONAL INC	2577	109200	Market
CALADRIUS BIOSCIENCES INC	494	106252	Market
CALATLANTIC GROUP INC	4018	113664	Market
CALGON CARBON CORP	8101	536500	Market
CALIX INC	17988	2626018	Market
CALLAWAY GOLF CO	5938	464600	Market
CALLIDUS SOFTWARE INC	26589	1098701	Market
CALPINE CORP	4093	302545	Market
CALUMET SPECIALTY PRODS PTNR	404	95100	Market
CAMBIUM LEARNING GRP INC	4477	883100	Market
CAMBREX CORP	15189	254202	Market
CAMDEN NATL CORP	16999	396149	Market
CAMDEN PPTY TR	34238	400400	Market
CAMPBELL SOUP CO	130099	2494700	Market
CAMTEK LTD	5116	1059300	Market
CANADA GOOSE HOLDINGS INC	336	17000	Market
CANADIAN NAT RES LTD	5151	178600	Market
CANADIAN PAC RY LTD	94076	585000	Market
CANCER GENETICS INC	2250	569700	Market
CANON INC	18327	538700	Market
CAPELLA EDUCATION COMPANY	81014	946425	Market
CAPITAL BK FINL CORP	14567	382344	Market
CAPITAL CITY BK GROUP INC	2636	129099	Market
CAPITAL ONE FINL CORP	81719	989099	Market
CAPITAL PRODUCT PARTNERS L P	2215	651612	Market
CAPITAL SR LIVING CORP	7203	473600	Market
CAPITOL FED FINL INC	109155	7681597	Market
CAPSTEAD MTG CORP	28923	2773100	Market
CAPSTONE TURBINE CORP	600	881909	Market
CARBONITE INC	50526	2317700	Market
CARDCONNECT CORP	8994	597640	Market
CARDIOME PHARMA CORP	1585	350713	Market
CARDIOVASCULAR SYS INC DEL	8970	278301	Market
CARDTRONICS PLC	44236	1346200	Market
CARE CAP PPTYS INC	5155	193080	Market
CARE COM INC	15320	1014600	Market
CAREER EDUCATION CORP	44929	4680062	Market
CARETRUST REIT INC	12427	670300	Market
CARLISLE COS INC	41928	439500	Market
CARLYLE GROUP L P	8441	427400	Market
CARMAX INC	7782	123400	Market
CARNIVAL PLC	3709	56100	Market
CAROLINA FINL CORP NEW	8348	258300	Market
CARRIAGE SVCS INC	23636	876700	Market
CARRIZO OIL & GAS INC	3947	226552	Market
CARROLS RESTAURANT GROUP INC	8511	694800	Market
CARTESIAN INC	195	260080	Market
CAS MED SYS INC	327	282300	Market
CASCADIAN THERAPEUTICS INC	259	69588	Market
CASELLA WASTE SYS INC	43403	2644942	Market
CASI PHARMACEUTICALS INC	112	106200	Market
CASS INFORMATION SYS INC	1686	25689	Market
CASTLIGHT HEALTH INC	4368	1052500	Market
CATABASIS PHARMACEUTICALS IN	161	114500	Market
CATALENT INC	23092	657900	Market
CATALYST BIOSCIENCES INC	1579	339673	Market
CATALYST PHARMACEUTICALS INC	2461	891800	Market
CATCHMARK TIMBER TR INC	6904	607200	Market
CATERPILLAR INC DEL	268768	2501100	Market
CATO CORP NEW	472	26850	Market
CAVCO INDS INC DEL	43329	334200	Market
CAVIUM INC	16578	266833	Market
CBIZ INC	10583	705526	Market
CBOE HLDGS INC	399418	4369996	Market
CBS CORP NEW	19728	304400	Market
CBS CORP NEW	39894	625500	Market
CCA INDS INC	1175	345600	Market
CDK GLOBAL INC	47327	762600	Market
CDN IMPERIAL BK COMM TORONTO	102525	1263143	Market
CDW CORP	21854	349498	Market
CECO ENVIRONMENTAL CORP	2267	246983	Market
CEDAR FAIR L P	7899	109550	Market
CEDAR REALTY TRUST INC	6513	1342900	Market
CELANESE CORP DEL	40046	421800	Market
CELESTICA INC	7668	564588	Market
CELGENE CORP	152031	1170638	Market
CELLCOM ISRAEL LTD	35482	3702700	Market
CELLDEX THERAPEUTICS INC NEW	861	348614	Market
CELSION CORPORATION	455	221785	Market
CEMEX SAB DE CV	56241	5970393	Market
CEMPRA INC	6101	1326200	Market
CENOVUS ENERGY INC	32376	4392500	Market
CENTENE CORP DEL	70799	886316	Market
CENTERPOINT ENERGY INC	87129	3182200	Market
CENTERSTATE BANKS INC	17949	722000	Market
CENTRAIS ELETRICAS BRASILEIR	50	10200	Market
CENTRAL EUROPEAN MEDIA ENTRP	458	114479	Market
CENTRAL GARDEN & PET CO	33409	1112900	Market
CENTRAL GARDEN & PET CO	20402	641776	Market
CENTRAL PAC FINL CORP	23976	761853	Market
CENTRAL VALLEY CMNTY BANCORP	536	24200	Market
CENTRUS ENERGY CORP	364	85967	Market
CENTURY BANCORP INC MASS	4582	72038	Market
CENTURY CASINOS INC	6475	878500	Market
CENTURY CMNTYS INC	3246	130900	Market
CENVEO INC	915	150247	Market
CERAGON NETWORKS LTD	6063	2377700	Market
CERUS CORP	201	80100	Market
