CompanyName	Value(1000s)	Shares	OrderType
BOTTOMLINE TECH DEL INC	75040	2999208	Market
BOVIE MEDICAL CORP	272	75721	Market
BOWL AMER INC	11	686	Market
BOX INC	20068	1447937	Market
BOYD GAMING CORP	133303	6608978	Market
BP PLC	217	5815	Market
BRADY CORP	138324	3683740	Market
BRAINSTORM CELL THERAPEUTICS	110	43293	Market
BRANDYWINE RLTY TR	45940	2782562	Market
BRAVO BRIO RESTAURANT GROUP	143	37607	Market
BRF SA	24524	1661515	Market
BRIDGE BANCORP INC	22682	598478	Market
BRIDGEPOINT ED INC	6126	604744	Market
BRIDGFORD FOODS CORP	7	641	Market
BRIGGS & STRATTON CORP	76750	3447873	Market
BRIGHT HORIZONS FAM SOL IN D	92758	1324734	Market
BRIGHTCOVE INC	7717	958599	Market
BRINKER INTL INC	95252	1923119	Market
BRINKS CO	148985	3611762	Market
BRISTOL MYERS SQUIBB CO	1463102	25035963	Market
BRISTOW GROUP INC	57845	2824445	Market
BRIXMOR PPTY GROUP INC	84949	3478678	Market
BROADCOM LTD	1007271	5698199	Market
BROADRIDGE FINL SOLUTIONS IN	378965	5715906	Market
BROADSOFT INC	36389	882148	Market
BROADVISION INC	4	885	Market
BROADWAY FINL CORP DEL	3	1649	Market
BROADWIND ENERGY INC	173	42882	Market
BROCADE COMMUNICATIONS SYS I	201650	16144890	Market
BROCADE COMMUNICATIONS SYS I	87	87000	Market
BROOKDALE SR LIVING INC	31680	2550727	Market
BROOKDALE SR LIVING INC	56	58000	Market
BROOKLINE BANCORP INC DEL	90565	5522250	Market
BROOKS AUTOMATION INC	92619	5425824	Market
BROWN & BROWN INC	201125	4483394	Market
BROWN FORMAN CORP	25054	541713	Market
BROWN FORMAN CORP	166858	3714550	Market
BRT RLTY TR	244	29846	Market
BRUKER CORP	29365	1386443	Market
BRUNSWICK CORP	191653	3513987	Market
BRYN MAWR BK CORP	23385	554795	Market
BSB BANCORP INC MD	7894	272669	Market
BSQUARE CORP	180	30800	Market
BUCKLE INC	52226	2290605	Market
BUFFALO WILD WINGS INC	164234	1063692	Market
BUILD A BEAR WORKSHOP	6273	456209	Market
BUILDERS FIRSTSOURCE INC	36341	3312789	Market
BUNGE LIMITED	126070	1745159	Market
BURLINGTON STORES INC	60473	713541	Market
BWX TECHNOLOGIES INC	72930	1837022	Market
C & F FINL CORP	5431	108949	Market
C D I CORP	5682	767859	Market
C H ROBINSON WORLDWIDE INC	302413	4127940	Market
CA INC	214240	6743455	Market
CABELAS INC	116450	1988896	Market
CABLE ONE INC	112021	180177	Market
CABOT CORP	128130	2535216	Market
CABOT MICROELECTRONICS CORP	118379	1873969	Market
CABOT OIL & GAS CORP	212143	9081467	Market
CACI INTL INC	248696	2000773	Market
CADENCE DESIGN SYSTEM INC	325690	12913946	Market
CADIZ INC	570	45609	Market
CAESARS ACQUISITION CO	19376	1435258	Market
CAESARS ENTMT CORP	14687	1727926	Market
CAESARSTONE LTD	23713	827668	Market
CAFEPRESS INC	69	23346	Market
CAI INTERNATIONAL INC	4595	530024	Market
CAL MAINE FOODS INC	107392	2431055	Market
CALADRIUS BIOSCIENCES INC	4	1526	Market
CALAMOS ASSET MGMT INC	10802	1263341	Market
CALAMP CORP	42378	2922610	Market
CALATLANTIC GROUP INC	137578	4045236	Market
CALAVO GROWERS INC	73086	1190321	Market
CALERES INC	114513	3489129	Market
CALGON CARBON CORP	69683	4099006	Market
CALIFORNIA FIRST NTNL BANCOR	1136	72613	Market
CALIFORNIA RES CORP	21705	1019509	Market
CALIFORNIA WTR SVC GROUP	126502	3731632	Market
CALITHERA BIOSCIENCES INC	117	36144	Market
CALIX INC	10483	1361426	Market
CALLAWAY GOLF CO	80923	7383440	Market
CALLIDUS SOFTWARE INC	30450	1812508	Market
CALLON PETE CO DEL	72000	4684438	Market
CALPINE CORP	47701	4173301	Market
CAMBIUM LEARNING GRP INC	2273	455504	Market
CAMBREX CORP	135084	2503877	Market
CAMDEN NATL CORP	22505	506292	Market
CAMDEN PPTY TR	340322	4048077	Market
CAMECO CORP	2731	260839	Market
CAMPBELL SOUP CO	300714	4972953	Market
CAMPING WORLD HLDGS INC	11612	356303	Market
CANADIAN NAT RES LTD	23168	726731	Market
CANADIAN SOLAR INC	1399	114825	Market
CANCER GENETICS INC	51	37660	Market
CANTEL MEDICAL CORP	226515	2876375	Market
CANTERBURY PARK HOLDING CORP	6	598	Market
CAPELLA EDUCATION COMPANY	76964	876580	Market
CAPITAL BK FINL CORP	29097	741323	Market
CAPITAL CITY BK GROUP INC	7546	368470	Market
CAPITAL ONE FINL CORP	568515	6516683	Market
CAPITAL SR LIVING CORP	16080	1001843	Market
CAPITOL FED FINL INC	69200	4204102	Market
CAPNIA INC	1	1564	Market
CAPRICOR THERAPEUTICS INC	44	16598	Market
CAPSTAR FINL HLDGS INC	1961	89311	Market
CAPSTEAD MTG CORP	102156	10025168	Market
CAPSTONE TURBINE CORP	51	75087	Market
CARA THERAPEUTICS INC	6433	692518	Market
CARBO CERAMICS INC	18072	1727700	Market
CARBONITE INC	9458	576682	Market
CARDINAL FINL CORP	84444	2575305	Market
CARDINAL HEALTH INC	323785	4498882	Market
CARDIOVASCULAR SYS INC DEL	27479	1135007	Market
CARDTRONICS INC	68	58000	Market
CARDTRONICS PLC	191327	3506083	Market
CARE CAP PPTYS INC	97483	3899312	Market
CARE COM INC	3807	444167	Market
CAREDX INC	60	22276	Market
CAREER EDUCATION CORP	53458	5298114	Market
CARETRUST REIT INC	81192	5299731	Market
CARLISLE COS INC	273503	2479852	Market
CARMAX INC	213852	3321202	Market
CARNIVAL CORP	305554	5869267	Market
CAROLINA BK HLDGS INC GREENS	41	1578	Market
CAROLINA FINL CORP NEW	10609	344563	Market
CAROLINA TR BANCSHARES INC	11	1662	Market
CARPENTER TECHNOLOGY CORP	103432	2859597	Market
CARRIAGE SVCS INC	13846	483434	Market
CARRIZO OIL & GAS INC	185820	4975095	Market
CARROLS RESTAURANT GROUP INC	16916	1109252	Market
CARTER INC	162846	1885007	Market
CARTESIAN INC	2	1655	Market
CAS MED SYS INC	161	99872	Market
CASCADE BANCORP	8602	1059325	Market
CASCADIAN THERAPEUTICS INC	200	46366	Market
CASELLA WASTE SYS INC	15799	1273092	Market
CASEYS GEN STORES INC	180977	1522354	Market
CASI PHARMACEUTICALS INC	44	37886	Market
CASS INFORMATION SYS INC	26388	358673	Market
CASTLE BRANDS INC	17	21934	Market
CASTLIGHT HEALTH INC	6492	1311508	Market
CATABASIS PHARMACEUTICALS IN	65	18108	Market
CATALENT INC	193321	7170642	Market
CATALYST BIOSCIENCES INC	0	683	Market
CATALYST PHARMACEUTICALS INC	61	58345	Market
CATCHMARK TIMBER TR INC	17323	1538475	Market
CATERPILLAR INC DEL	1053066	11355034	Market
CATHAY GEN BANCORP	174594	4590961	Market
CATO CORP NEW	61243	2035991	Market
CAVCO INDS INC DEL	82016	821394	Market
CAVIUM INC	136742	2189978	Market
CB FINL SVCS INC	21	829	Market
CBIZ INC	22335	1630286	Market
CBL & ASSOC PPTYS INC	71481	6215727	Market
CBOE HLDGS INC	241570	3269318	Market
CBRE GROUP INC	221043	7019458	Market
CBS CORP NEW	321	4955	Market
CBS CORP NEW	310693	4883573	Market
CCA INDS INC	6	2196	Market
CDK GLOBAL INC	368284	6169944	Market
CDW CORP	93417	1793373	Market
CEB INC	116719	1926052	Market
CECO ENVIRONMENTAL CORP	13317	954650	Market
CEDAR REALTY TRUST INC	41698	6385672	Market
CEL SCI CORP	2	31186	Market
CELADON GROUP INC	16866	2358839	Market
CELANESE CORP DEL	139708	1774292	Market
CELESTICA INC	302	25503	Market
CELGENE CORP	1835583	15858169	Market
CELLDEX THERAPEUTICS INC NEW	16241	4587716	Market
CELLECTAR BIOSCIENCES INC	1	597	Market
CELLULAR BIOMEDICINE GROUP I	5124	391135	Market
CELSION CORPORATION	15	48915	Market
CEMPRA INC	5768	2059921	Market
CEMTREX INC	18	2492	Market
CENCOSUD S A	570	67843	Market
CENOVUS ENERGY INC	8289	547834	Market
CENTENE CORP DEL	188567	3336871	Market
CENTENNIAL RESOURCE DEV INC	340	17251	Market
CENTERPOINT ENERGY INC	312382	12677828	Market
CENTERSTATE BANKS INC	38547	1531479	Market
CENTRAL EUROPEAN MEDIA ENTRP	6300	2470675	Market
CENTRAL FED CORP	9	4996	Market
CENTRAL GARDEN & PET CO	26054	787359	Market
CENTRAL GARDEN & PET CO	79984	2588485	Market
CENTRAL PAC FINL CORP	74822	2381340	Market
CENTRAL VALLEY CMNTY BANCORP	5927	296922	Market
CENTRUS ENERGY CORP	12	1828	Market
CENTURY ALUM CO	35036	4092950	Market
CENTURY BANCORP INC MASS	6137	102278	Market
CENTURY CASINOS INC	5792	703793	Market
CENTURY CMNTYS INC	10582	503922	Market
CENTURYLINK INC	410966	17282022	Market
CENVEO INC	130	18534	Market
CERECOR INC	2	1933	Market
CERNER CORP	262640	5544434	Market
CERULEAN PHARMA INC	31	44255	Market
CERUS CORP	20498	4712166	Market
CESCA THERAPEUTICS INC	1	272	Market
CEVA INC	55179	1644689	Market
CF INDS HLDGS INC	139349	4426588	Market
CHANGYOU COM LTD	37	1728	Market
CHANNELADVISOR CORP	10682	744415	Market
CHANTICLEER HLDGS INC	3	8056	Market
CHARLES & COLVARD LTD	8	7183	Market
CHARLES RIV LABS INTL INC	144421	1895542	Market
CHART INDS INC	90164	2503175	Market
CHARTER COMMUNICATIONS INC N	853325	2963756	Market
CHARTER FINL CORP MD	7685	461027	Market
CHASE CORP	18972	227070	Market
CHATHAM LODGING TR	23697	1153158	Market
CHECK POINT SOFTWARE TECH LT	83547	989190	Market
CHEESECAKE FACTORY INC	156875	2619831	Market
CHEETAH MOBILE INC	1380	144385	Market
CHEFS WHSE INC	9898	626448	Market
CHEGG INC	19230	2605668	Market
CHEMBIO DIAGNOSTICS INC	219	32213	Market
CHEMED CORP NEW	205303	1279865	Market
CHEMICAL FINL CORP	220395	4068583	Market
CHEMOCENTRYX INC	10438	1410479	Market
CHEMOURS CO	322754	14610858	Market
CHEMTURA CORP	67441	2031357	Market
CHEMUNG FINL CORP	3831	105380	Market
CHENIERE ENERGY INC	120729	2914042	Market
CHENIERE ENERGY INC	71	117000	Market
CHEROKEE INC DEL NEW	249	23689	Market
CHERRY HILL MTG INVT CORP	3134	172311	Market
CHESAPEAKE ENERGY CORP	93425	13308415	Market
CHESAPEAKE LODGING TR	126107	4876530	Market
CHESAPEAKE UTILS CORP	31901	476483	Market
CHEVRON CORP NEW	4193044	35624847	Market
CHIASMA INC	89	45457	Market
CHICAGO BRIDGE & IRON CO N V	36327	1144172	Market
CHICAGO RIVET & MACH CO	5	125	Market
CHICOS FAS INC	111523	7750029	Market
CHILDRENS PL INC	142049	1407122	Market
CHIMERA INVT CORP	101117	5941057	Market
CHIMERIX INC	6584	1431253	Market
CHINA BIOLOGIC PRODS INC	40884	380241	Market
CHINA PETE & CHEM CORP	35	492	Market
CHINA YUCHAI INTL LTD	29	2124	Market
CHIPOTLE MEXICAN GRILL INC	190464	504781	Market
CHOICE HOTELS INTL INC	21725	387600	Market
CHRISTOPHER & BANKS CORP	199	85136	Market
CHROMADEX CORP	2964	895458	Market
CHUBB LIMITED	933633	7066552	Market
CHUNGHWA TELECOM CO LTD	2941	93208	Market
CHURCH & DWIGHT INC	303428	6866447	Market
CHURCHILL DOWNS INC	113540	754672	Market
CHUYS HLDGS INC	42698	1315818	Market
CIBER INC	2658	4206299	Market
CIDARA THERAPEUTICS INC	4439	426851	Market
CIENA CORP	211175	8651154	Market
CIGNA CORPORATION	545261	4087719	Market
CIM COML TR CORP	66	4244	Market
CIMAREX ENERGY CO	253781	1867408	Market
CIMPRESS N V	68304	745592	Market
CINCINNATI BELL INC NEW	97113	4345119	Market
CINCINNATI FINL CORP	440787	5818976	Market
CINEDIGM CORP	4	2555	Market
CINEMARK HOLDINGS INC	266860	6956738	Market
CINTAS CORP	266733	2308180	Market
CIRCOR INTL INC	84688	1305302	Market
CIRRUS LOGIC INC	218392	3862602	Market
CISCO SYS INC	2480797	82091236	Market
CIT GROUP INC	98145	2299562	Market
CITI TRENDS INC	9039	479752	Market
CITIGROUP INC	2341880	39405684	Market
CITIZENS & NORTHN CORP	10257	391482	Market
CITIZENS CMNTY BANCORP INC M	10	799	Market
CITIZENS FINL GROUP INC	365548	10259554	Market
CITIZENS FIRST CORP	5	289	Market
CITIZENS HLDG CO MISS	102	3957	Market
CITIZENS INC	15575	1586081	Market
CITRIX SYS INC	271005	3034433	Market
CITRIX SYS INC	236	204000	Market
CITY HLDG CO	79739	1179565	Market
CITY OFFICE REIT INC	9212	699433	Market
CIVISTA BANCSHARES INC	35	1819	Market
CIVITAS SOLUTIONS INC	9868	495897	Market
CKX LANDS INC	3	229	Market
CLARCOR INC	232654	2821079	Market
CLEAN DIESEL TECHNOLOGIES IN	3	1577	Market
CLEAN ENERGY FUELS CORP	8535	2984105	Market
CLEAN HARBORS INC	115972	2083951	Market
CLEAR CHANNEL OUTDOOR HLDGS	1789	354191	Market
CLEARFIELD INC	7725	373204	Market
CLEARONE INC	214	18770	Market
CLEARSIDE BIOMEDICAL INC	4927	551171	Market
CLEARSIGN COMBUSTION CORP	116	34155	Market
CLEARWATER PAPER CORP	88415	1348817	Market
CLEVELAND BIOLABS INC	1	741	Market
CLIFFS NAT RES INC	58900	7003596	Market
CLIFTON BANCORP INC	12333	728874	Market
CLOROX CO DEL	396659	3304941	Market
CLOUD PEAK ENERGY INC	18521	3301418	Market
CLOVIS ONCOLOGY INC	66197	1490258	Market
CLOVIS ONCOLOGY INC	60	58000	Market
CLUBCORP HLDGS INC	27448	1912781	Market
CME GROUP INC	1142447	9904180	Market
CMS ENERGY CORP	348079	8363272	Market
CNA FINL CORP	11280	271797	Market
CNB FINL CORP PA	12110	452898	Market
CNH INDL N V	636	73147	Market
CNO FINL GROUP INC	181481	9476822	Market
CNOOC LTD	32	256	Market
COACH INC	184920	5280411	Market
COASTWAY BANCORP INC	13	858	Market
COBALT INTL ENERGY INC	15543	12739759	Market
COBALT INTL ENERGY INC	91	233000	Market
COBALT INTL ENERGY INC	49	175000	Market
COBIZ FINANCIAL INC	20645	1222307	Market
COCA COLA BOTTLING CO CONS	25196	140877	Market
COCA COLA CO	2619067	63170942	Market
CODEXIS INC	5094	1107455	Market
CODORUS VY BANCORP INC	7934	277399	Market
COEUR MNG INC	51655	5682605	Market
COFFEE HLDGS INC	10	2234	Market
COGENT COMMUNICATIONS HLDGS	133646	3232056	Market
COGENTIX MED INC	15	7250	Market
COGINT INC	1736	503117	Market
COGNEX CORP	206763	3249967	Market
COGNIZANT TECHNOLOGY SOLUTIO	457283	8161404	Market
COHEN & STEERS INC	22233	661694	Market
COHERENT INC	258449	1881204	Market
COHERUS BIOSCIENCES INC	43910	1559843	Market
COHU INC	29846	2147178	Market
COLFAX CORP	36965	1028808	Market
COLGATE PALMOLIVE CO	882672	13488259	Market
COLLECTORS UNIVERSE INC	5236	246619	Market
COLLEGIUM PHARMACEUTICAL INC	14497	931081	Market
COLONY BANKCORP INC	23	1779	Market
COLONY CAP INC	133484	6591796	Market
COLONY CAP INC	29425	1262871	Market
COLONY CAP INC	58	58000	Market
COLONY STARWOOD HOMES	60073	2085130	Market
COLUCID PHARMACEUTICALS INC	10053	276194	Market
COLUMBIA BKG SYS INC	206079	4612322	Market
COLUMBIA PPTY TR INC	42096	1948909	Market
COLUMBIA SPORTSWEAR CO	46964	805566	Market
COLUMBUS MCKINNON CORP N Y	17285	639224	Market
COMBIMATRIX CORPORATION	21	8019	Market
COMCAST CORP NEW	2204347	31923924	Market
COMERICA INC	233740	3431807	Market
COMFORT SYS USA INC	98766	2965958	Market
COMMAND SEC CORP	6	2172	Market
COMMERCE BANCSHARES INC	204447	3536537	Market
COMMERCEHUB INC	1903	126777	Market
COMMERCEHUB INC	4047	269277	Market
COMMERCIAL METALS CO	213622	9808179	Market
COMMERCIAL VEH GROUP INC	363	65622	Market
COMMSCOPE HLDG CO INC	60232	1619150	Market
COMMUNICATIONS SALES&LEAS IN	149623	5888335	Market
COMMUNICATIONS SYS INC	107	23085	Market
COMMUNITY BANKERS TR CORP	540	74480	Market
COMMUNITY BK SYS INC	214675	3474272	Market
COMMUNITY FINL CORP MD	26	880	Market
COMMUNITY HEALTH SYS INC NEW	54827	9808035	Market
COMMUNITY HEALTHCARE TR INC	9971	432972	Market
COMMUNITY TR BANCORP INC	25031	504665	Market
COMMUNITY WEST BANCSHARES	16	1785	Market
COMMVAULT SYSTEMS INC	125548	2442574	Market
COMPANHIA DE SANEAMENTO BASI	2437	280814	Market
COMPANHIA ENERGETICA DE MINA	8669	3802171	Market
COMPANHIA PARANAENSE ENERG C	2252	265530	Market
COMPANIA DE MINAS BUENAVENTU	52536	4657473	Market
COMPASS MINERALS INTL INC	111034	1417151	Market
COMPUGEN LTD	3638	713367	Market
COMPUTER PROGRAMS & SYS INC	21508	911335	Market
COMPUTER SCIENCES CORP	343976	5788897	Market
COMPUTER TASK GROUP INC	188	44542	Market
COMPX INTERNATIONAL INC	799	49610	Market
COMSCORE INC	86559	2740953	Market
COMSTOCK HLDG COS INC	1	285	Market
COMSTOCK MNG INC	9	33441	Market
COMSTOCK RES INC	125	12674	Market
COMTECH TELECOMMUNICATIONS C	22989	1939976	Market
CONAGRA BRANDS INC	322519	8154722	Market
CONATUS PHARMACEUTICALS INC	258	49008	Market
CONCERT PHARMACEUTICALS INC	5618	545973	Market
CONCHO RES INC	380755	2871453	Market
CONCURRENT COMPUTER CORP NEW	167	31166	Market
CONFORMIS INC	9229	1139324	Market
CONIFER HLDGS INC	108	13199	Market
CONMED CORP	92740	2099613	Market
CONNECTICUT WTR SVC INC	19854	355494	Market
CONNECTONE BANCORP INC NEW	24395	940074	Market
CONNECTURE INC	4	2157	Market
CONNS INC	8735	690517	Market
CONOCOPHILLIPS	1059591	21132656	Market
CONSOL ENERGY INC	142535	7818695	Market
CONSOLIDATED COMM HLDGS INC	127765	4758457	Market
CONSOLIDATED EDISON INC	616630	8369033	Market
CONSOLIDATED TOMOKA LD CO	7161	134042	Market
CONSOLIDATED WATER CO INC	5148	474501	Market
CONSTELLATION BRANDS INC	396651	2587245	Market
CONSTELLIUM NV	77	13005	Market
CONSUMER PORTFOLIO SVCS INC	291	56898	Market
CONTAINER STORE GROUP INC	3381	532511	Market
CONTANGO OIL & GAS COMPANY	17808	1906638	Market
CONTINENTAL BLDG PRODS INC	24256	1050033	Market
CONTINENTAL MATLS CORP	2	77	Market
CONTINENTAL RESOURCES INC	58731	1139522	Market
CONTRAFECT CORP	159	90998	Market
CONTRAVIR PHARMACEUTICALS IN	23	19117	Market
CONTROL4 CORP	6716	658413	Market
CONVERGYS CORP	135820	5530123	Market
COOPER COS INC	182522	1043401	Market
COOPER STD HLDGS INC	138580	1340491	Market
COOPER TIRE & RUBR CO	67996	1750206	Market
COPA HOLDINGS SA	26665	293571	Market
COPART INC	214566	3872338	Market
COPSYNC INC	1	1766	Market
CORBUS PHARMACEUTICALS HLDGS	867	102550	Market
CORCEPT THERAPEUTICS INC	23934	3296752	Market
CORE LABORATORIES N V	27984	233123	Market
CORE MARK HOLDING CO INC	158458	3679091	Market
CORE MOLDING TECHNOLOGIES IN	361	21079	Market
CORECIVIC INC	128277	5244351	Market
CORELOGIC INC	124583	3382644	Market
CORENERGY INFRASTRUCTURE TR	13883	398022	Market
CORESITE RLTY CORP	220858	2782641	Market
CORINDUS VASCULAR ROBOTICS I	1160	1660949	Market
CORIUM INTL INC	146	35906	Market
CORMEDIX INC	163	106733	Market
CORNERSTONE ONDEMAND INC	64172	1516719	Market
CORNERSTONE ONDEMAND INC	60	58000	Market
CORNING INC	347361	14312347	Market
CORPORATE OFFICE PPTYS TR	130493	4179776	Market
CORVEL CORP	31556	862194	Market
CORVUS PHARMACEUTICALS INC	1558	108919	Market
COSAN LTD	3	376	Market
COSTAMARE INC	4651	830520	Market
COSTAR GROUP INC	62706	332674	Market
COSTCO WHSL CORP NEW	949772	5931997	Market
COTIVITI HLDGS INC	13572	394535	Market
COTY INC	143613	7843408	Market
COUNTY BANCORP INC	3807	141169	Market
COUPA SOFTWARE INC	6344	253675	Market
COUSINS PPTYS INC	188983	22207205	Market
COVANTA HLDG CORP	27717	1776704	Market
COVENANT TRANSN GROUP INC	7645	395281	Market
COVISINT CORP	210	110311	Market
COWEN GROUP INC NEW	15433	995660	Market
CPFL ENERGIA S A	18963	1231367	Market
CPI AEROSTRUCTURES INC	188	20373	Market
CPI CARD GROUP INC	2887	695661	Market
CPS TECHNOLOGIES CORP	4	2230	Market
CRA INTL INC	9875	269803	Market
CRACKER BARREL OLD CTRY STOR	217770	1304169	Market
CRAFT BREW ALLIANCE INC	7036	416360	Market
CRANE CO	140378	1946455	Market
CRAWFORD & CO	4862	387063	Market
CRAWFORD & CO	98	10305	Market
CRAY INC	67761	3273475	Market
CREDICORP LTD	236563	1498565	Market
CREDIT ACCEP CORP MICH	18501	85056	Market
CREE INC	109882	4163768	Market
CRESCENT PT ENERGY CORP	4843	356378	Market
CRESUD S A C I F Y A	2702	171340	Market
CROCS INC	28916	4215108	Market
CROSS CTRY HEALTHCARE INC	40817	2614775	Market
CROSSROADS SYS INC	1	157	Market
CROWN CASTLE INTL CORP NEW	635952	7329174	Market
CROWN CRAFTS INC	225	29020	Market
CROWN HOLDINGS INC	78576	1494699	Market
CRYOLIFE INC	45479	2374904	Market
CRYOPORT INC	9	2880	Market
CRYSTAL ROCK HLDGS INC	2	2580	Market
CSG SYS INTL INC	122934	2539950	Market
CSP INC	7	681	Market
CSRA INC	86540	2717969	Market
CSS INDS INC	7642	282300	Market
CST BRANDS INC	142385	2957122	Market
CSW INDUSTRIALS INC	17524	475555	Market
CSX CORP	460030	12803506	Market
CTI BIOPHARMA CORP	22	52768	Market
CTI INDUSTRIES CORP	1	230	Market
CTRIP COM INTL LTD	207533	5188322	Market
CTS CORP	57727	2577115	Market
CU BANCORP CALIF	19200	536312	Market
CUBESMART	79377	2965139	Market
CUBIC CORP	115785	2414693	Market
CUI GLOBAL INC	408	58922	Market
CULLEN FROST BANKERS INC	200406	2271399	Market
CULP INC	12640	340246	Market
CUMBERLAND PHARMACEUTICALS I	182	33106	Market
CUMMINS INC	428543	3135605	Market
CUMULUS MEDIA INC	6	5678	Market
CURIS INC	17098	5551378	Market
CURTISS WRIGHT CORP	290369	2952107	Market
CUSTOMERS BANCORP INC	76449	2134255	Market
CUTERA INC	6686	385385	Market
CVB FINL CORP	183059	7983374	Market
CVD EQUIPMENT CORP	166	19154	Market
CVR ENERGY INC	12936	509476	Market
CVS HEALTH CORP	1128243	14297847	Market
CYANOTECH CORP	3	812	Market
CYBERARK SOFTWARE LTD	5276	115960	Market
CYBEROPTICS CORP	534	20447	Market
CYCLACEL PHARMACEUTICALS INC	4	816	Market
CYMABAY THERAPEUTICS INC	117	67554	Market
CYNOSURE INC	87350	1915577	Market
CYPRESS SEMICONDUCTOR CORP	156778	13704370	Market
CYRUSONE INC	49851	1114477	Market
CYS INVTS INC	69665	9012329	Market
CYTOKINETICS INC	19850	1633726	Market
CYTOMX THERAPEUTICS INC	7132	648924	Market
CYTORI THERAPEUTICS INC	67	44201	Market
CYTOSORBENTS CORP	351	64489	Market
CYTRX CORP	1146	3078200	Market
D R HORTON INC	298897	10936572	Market
DAILY JOURNAL CORP	8335	34469	Market
DAKTRONICS INC	34895	3261253	Market
DANA INCORPORATED	168433	8874218	Market
DANAHER CORP DEL	817052	10496559	Market
DARDEN RESTAURANTS INC	373478	5135834	Market
DARLING INGREDIENTS INC	172480	13360213	Market
DASAN ZHONE SOLUTIONS INC	68	68865	Market
DATA I O CORP	9	2146	Market
DATALINK CORP	7511	667041	Market
DATAWATCH CORP	177	32243	Market
DAVE & BUSTERS ENTMT INC	162946	2894237	Market
DAVITA INC	203365	3167683	Market
DAWSON GEOPHYSICAL CO NEW	5492	683026	Market
DAXOR CORP	1	131	Market
DBV TECHNOLOGIES S A	12105	344564	Market
DCT INDUSTRIAL TRUST INC	189729	3962596	Market
DDR CORP	73675	4824809	Market
DEAN FOODS CO NEW	119133	5469833	Market
DECKERS OUTDOOR CORP	108160	1952694	Market
DEERE & CO	387879	3764355	Market
DEL FRISCOS RESTAURANT GROUP	13222	777770	Market
DEL TACO RESTAURANTS INC	10750	761349	Market
DELCATH SYS INC	0	264	Market
DELEK US HLDGS INC	45954	1909164	Market
DELL TECHNOLOGIES INC	75407	1371776	Market
DELPHI AUTOMOTIVE PLC	326658	4850156	Market
DELTA AIR LINES INC DEL	512181	10412296	Market
DELTA APPAREL INC	4969	239696	Market
DELTA NAT GAS INC	6853	233659	Market
DELTIC TIMBER CORP	70034	908700	Market
DELUXE CORP	205666	2872026	Market
DENBURY RES INC	83891	22796530	Market
DENNYS CORP	31441	2450572	Market
DENTSPLY SIRONA INC	241830	4188983	Market
DEPOMED INC	110886	6153509	Market
DEPOMED INC	66	58000	Market
DERMA SCIENCES INC	295	56718	Market
DERMIRA INC	45115	1487486	Market
DESTINATION MATERNITY CORP	190	36726	Market
DESTINATION XL GROUP INC	4979	1171586	Market
DETERMINE INC	4	2257	Market
DEVON ENERGY CORP NEW	480361	10518080	Market
DEVRY ED GROUP INC	113221	3628878	Market
DEXCOM INC	62959	1054589	Market
DEXTERA SURGICAL INC	4	4034	Market
DHI GROUP INC	25444	4071062	Market
DHT HOLDINGS INC	12421	3000318	Market
DIAMOND HILL INVESTMENT GROU	23551	111947	Market
DIAMOND OFFSHORE DRILLING IN	50325	2843197	Market
DIAMONDBACK ENERGY INC	100688	996319	Market
DIAMONDROCK HOSPITALITY CO	199783	17327209	Market
DICERNA PHARMACEUTICALS INC	127	44002	Market
DICKS SPORTING GOODS INC	189148	3562112	Market
DIEBOLD NXDF INC	110557	4395921	Market
DIFFERENTIAL BRANDS GROUP IN	1	239	Market
DIGI INTL INC	29421	2139735	Market
DIGIMARC CORP NEW	9483	316102	Market
DIGIRAD CORP	282	56399	Market
DIGITAL ALLY INC	4	889	Market
DIGITAL RLTY TR INC	504237	5131661	Market
DIGITAL TURBINE INC	112	165036	Market
DIGITALGLOBE INC	77501	2705081	Market
DILLARDS INC	12847	204927	Market
DIME CMNTY BANCSHARES	51318	2553155	Market
DIMENSION THERAPEUTICS INC	1700	390867	Market
DINEEQUITY INC	105302	1367558	Market
DIODES INC	79800	3108687	Market
DIPEXIUM PHARMACEUTICALS INC	26	16415	Market
DIPLOMAT PHARMACY INC	47606	3778238	Market
DISCOVER FINL SVCS	374265	5191631	Market
DISCOVERY COMMUNICATNS NEW	71963	2625429	Market
DISCOVERY COMMUNICATNS NEW	102398	3823683	Market
DISH NETWORK CORP	73760	1273264	Market
DISNEY WALT CO	2070271	19864432	Market
DIVERSICARE HEALTHCARE SVCS	16	1570	Market
DIVERSIFIED RSTRNT HLDGS INC	52	37396	Market
DIXIE GROUP INC	149	41408	Market
DLH HLDGS CORP	48	8155	Market
DMC GLOBAL INC	7507	473627	Market
DNB FINL CORP	18	618	Market
DOCUMENT SEC SYS INC	4	6521	Market
DOLBY LABORATORIES INC	25249	558736	Market
DOLLAR GEN CORP NEW	342698	4626678	Market
DOLLAR TREE INC	304201	3941454	Market
DOMINION DIAMOND CORP	140	14431	Market
DOMINION RES INC VA NEW	1052117	13737002	Market
DOMINOS PIZZA INC	304300	1910953	Market
DOMTAR CORP	253905	6505375	Market
DONALDSON INC	213530	5074388	Market
DONEGAL GROUP INC	4951	283234	Market
DONNELLEY FINL SOLUTIONS INC	36743	1598926	Market
DONNELLEY R R & SONS CO	101696	6231351	Market
DORIAN LPG LTD	6201	755330	Market
